Section;Key;Value
home;hero_title;GERdoctor - Praktizieren in Deutschland
home;hero_subtitle;Vom Visum bis zur Arbeitserlaubnis unterstützen wir Sie auf Ihrem Weg
home;hero_cta;Jetzt starten
about;title;Über uns
about;description;Erhalte die Arbeitserlaubnis zum Praktizieren in Deutschland. Wir gehen mit dir alle Schritte bis zur Approbation und Praxis Findung.
about;mission;Der einfache Weg zur deutschen Approbation
partners;title;Unsere Partner unterstützen dich
partners;description;Arbeiten Sie mit branchenführenden Partnern zusammen, um Ihre Ziele zu erreichen.
